Incident_ID,CI_Name,CI_Cat,CI_Subcat,Impact,Urgency,Priority,Category,Status,No_of_Reassignments,Handle_Time_hrs,Closure_Code,Open_Time
IM0000001,SUB448,subapplication,File Server,4,4,5,incident,in-progress,25,3738.41,Pending,2013-09-13 00:00:00
IM0000002,SUB012,database,SQL Server,5,2,4,incident,closed,17,2774.01,Other,2014-11-15 00:00:00
IM0000003,SUB450,server,Web Application,3,4,1,request,open,24,2049.86,Resolved,2014-06-10 00:00:00
IM0000004,SUB052,server,Email Service,2,1,3,request,open,25,2354.62,Pending,2012-11-03 00:00:00
IM0000005,SUB365,storage,File Server,2,3,1,incident,open,21,1838.74,Resolved,2013-06-05 00:00:00
IM0000006,SUB860,storage,Web Application,4,4,3,request,in-progress,2,2748.73,Pending,2013-11-29 00:00:00
IM0000007,SUB142,subapplication,Network Switch,1,3,2,incident,closed,18,365.78,Pending,2014-03-19 00:00:00
IM0000008,SUB315,subapplication,Email Service,5,4,4,request,closed,27,3378.67,Other,2013-08-07 00:00:00
IM0000009,SUB536,subapplication,File Server,3,1,2,request,open,18,624.36,Resolved,2014-08-06 00:00:00
IM0000010,SUB477,server,Network Switch,4,4,5,request,closed,20,192.42,Other,2014-02-13 00:00:00
IM0000011,SUB945,network,SQL Server,1,1,3,request,in-progress,30,401.48,Resolved,2013-01-03 00:00:00
IM0000012,SUB178,database,File Server,3,1,4,request,in-progress,5,3013.8,Other,2014-02-21 00:00:00
IM0000013,SUB253,storage,Email Service,2,3,4,request,closed,22,3092.31,Resolved,2012-06-05 00:00:00
IM0000014,SUB983,network,Email Service,2,4,1,incident,open,6,1254.94,Resolved,2014-10-15 00:00:00
IM0000015,SUB198,database,File Server,2,1,2,incident,in-progress,30,832.64,Pending,2014-04-06 00:00:00
IM0000016,SUB199,storage,File Server,5,4,1,request,open,2,1265.44,Pending,2014-08-17 00:00:00
IM0000017,SUB033,database,Email Service,3,1,2,incident,open,20,1413.67,Resolved,2012-05-02 00:00:00
IM0000018,SUB366,database,Web Application,2,1,4,incident,in-progress,5,3585.19,Resolved,2012-02-04 00:00:00
IM0000019,SUB245,network,Network Switch,5,2,5,incident,closed,8,1357.16,Resolved,2012-08-17 00:00:00
IM0000020,SUB225,network,SQL Server,4,3,3,request,in-progress,3,3362.92,Other,2012-12-01 00:00:00
IM0000021,SUB694,subapplication,SQL Server,4,3,1,request,closed,2,3140.87,Other,2013-09-21 00:00:00
IM0000022,SUB881,storage,SQL Server,4,3,2,incident,open,30,1371.02,Resolved,2012-04-29 00:00:00
IM0000023,SUB492,storage,Network Switch,4,5,3,incident,in-progress,2,1677.74,Resolved,2013-06-10 00:00:00
IM0000024,SUB071,storage,Network Switch,3,1,5,incident,closed,29,359.52,Resolved,2012-01-30 00:00:00
IM0000025,SUB042,database,SQL Server,4,5,4,request,in-progress,20,2698.52,Other,2013-02-21 00:00:00
IM0000026,SUB163,database,Email Service,1,4,4,incident,closed,27,413.2,Pending,2014-10-05 00:00:00
IM0000027,SUB047,subapplication,Email Service,4,5,4,request,closed,24,1309.66,Other,2014-03-04 00:00:00
IM0000028,SUB908,storage,Network Switch,1,5,3,request,closed,4,2080.43,Other,2013-03-14 00:00:00
IM0000029,SUB666,database,Network Switch,1,2,1,incident,open,15,325.58,Resolved,2014-05-26 00:00:00
IM0000030,SUB031,server,Web Application,3,3,5,incident,open,18,191.01,Pending,2013-07-27 00:00:00
IM0000031,SUB672,storage,Network Switch,1,2,4,incident,open,2,2210.54,Pending,2012-03-22 00:00:00
IM0000032,SUB823,storage,SQL Server,4,2,1,request,open,1,2152.37,Resolved,2013-10-26 00:00:00
IM0000033,SUB789,database,Email Service,3,2,5,incident,open,15,820.59,Pending,2014-07-24 00:00:00
IM0000034,SUB113,subapplication,Email Service,4,1,1,incident,in-progress,9,799.63,Pending,2013-07-20 00:00:00
IM0000035,SUB992,subapplication,SQL Server,5,1,4,request,in-progress,18,1995.91,Pending,2012-03-28 00:00:00
